link,class,Agenda Number,Agenda Item,Mayor Taylor,Disch (Ward 1),Harrison (Ward 1),Mallek (Ward 2),Watson (Ward 2),Radina (Ward 3),Ghazi-Edwin (Ward 3),Eyer (Ward 4),Akmon (Ward 4),Briggs (Ward 5),Cornell (Ward 5)
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7968408&GUID=1A767044-F26C-4F73-9C36-DF7D5CF1647A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-1,Appointments - Confirmations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7968444&GUID=D13CA914-C06D-4DA8-9034-5C420A63D753&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,nomination pass,MC-2,Appointment - Confirmation,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975845&GUID=3419DCC2-3CD8-4976-BFD2-B6E2DA1A6005&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-1,"Resolution to Approve a General Services Agreement with Legacy Land Conservancy for Conservation Easement Services ($500,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7971689&GUID=D3836422-6A11-4FB9-A9EF-FF8CF3356ACB&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-2,"Resolution to Approve a Construction Contract with E.T. MacKenzie Company for the North University and Thayer Improvements Project (RFP 26-11; $6,760,000.00) and to Appropriate $7,673,000.00 in Contributing Funds and to Approve Cost Allocation Agreements (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7971692&GUID=21D8416F-19BA-4687-BC6B-6F5C4ADFC3D1&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-3,"Resolution to Approve a Construction Contract with Bailey Excavating, Inc. for the Ingalls Kingsley Water Main Project ($4,268,513.70) and to Appropriate $3,116,219.00 in Contributing Funds (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975820&GUID=841BB842-C8EA-4710-95D0-D682CC6205B4&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-4,"Resolution to Approve a Construction Contract with Eminent Excavating LLC for the South Maple, Arbordale and Sherwood Watermain Replacement and Improvements Project (RFP 26-17; $4,499,212.00) and to Appropriate $1,640,802.00 in Contributing Funds (8 Votes Required)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7971691&GUID=A0C98859-4C13-496B-BE14-548F273A0BEC&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-5,"Resolution to Approve a Construction Contract Renewal with Doan Construction Co. for the 2026 Sidewalk Repair Program ($820,005.02)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7971693&GUID=2D825F0D-26CE-442F-B8CD-5A9E93F833CE&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-6,"Resolution to Approve a Construction Contract Renewal with Precision Concrete, Inc. for the Annual Sidewalk Repair Program ($283,908.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975823&GUID=9234C595-5A3B-45F2-9DB4-199B2560CE09&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-7,"Resolution to Approve a Purchase Order for Utility Infrastructure Materials from Core and Main, LP, (Not-to-Exceed $998,324.27) for One Year (ITB- 4782)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975824&GUID=91E36B92-00DD-4EE9-BB1E-600E0063841D&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-8,"Resolution to Approve a Purchase Order for Hot Mix Asphalt (HMA) and Emulsion to Cadillac Asphalt, LLC. (Not to Exceed $249,517.00; ITB 4783)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7978269&GUID=92833F2B-5BC5-4582-87A1-0475ABFEBD48&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-9,"Resolution to Approve a Cost-Sharing Agreement with the Washtenaw County Road Commission (WCRC) for the State and Ellsworth Roundabout Project, Estimated Amount $164,047.50",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7978267&GUID=032FB262-819B-42C4-BE25-DFE5A3B83230&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-10,Resolution to Approve Support of Michigan Department of Transportation Road Reconfiguration Repaving Plan for East Huron/Washtenaw,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7971690&GUID=72D9BD60-B011-40B9-9F27-F21A5451232A&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-11,"Resolution to Approve Amendment No. 4 to Extend the Professional Services Agreement with Geosyntec Consultants of Michigan, Inc. for Hydroelectric Dams - FERC Title 18 Part 12, Subpart D (Part 12D) Inspections and Other Engineering Services in the Amount of $556,000.00 (Total Contract Amount $996,700.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975825&GUID=E0AD2403-2F6E-41E4-BEC4-28F8DDBAD9F6&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-12,"Resolution to Approve An Amendment to the Circular Economy Grant Agreement with the Michigan Department of Environment, Great Lakes, and Energy to Amend the Budget to Lower the City’s Required Match Amount",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975847&GUID=E966E053-9748-49B3-9EF5-393A9275D180&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-13,"Resolution to Approve Amendment 1 to the Professional Services Agreement with Orchard, Hiltz & McCliment, Inc. for Environmental Assessments Required for the Charging and Fueling Infrastructure Award and the Congressionally Directed Spending Award ($120,000.00)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975846&GUID=D6C25608-6F62-4ED8-8E6A-1075E7A0DA61&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,consent pass,CA-14,"Resolution Recognizing Non-Profit Enterprise at Work, Inc as a Civic Nonprofit Organization Operating in Ann Arbor for the Purpose of Obtaining a Charitable Gaming License",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7824759&GUID=44A7D280-00BB-44B5-92A1-E644070583A5&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,B-1 - Motion to Adopt on Second Reading by Harrison,"An Ordinance to Amend Sections 1:152, 1:154, 1:156, 1:158, 1:159 and 1:160 of Chapter 7 (Downtown Development Authority) of Title I of the Code of the City of Ann Arbor (ORD-26-05)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975826&GUID=3149F6CA-AF2A-4FB8-8295-56F490804C77&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,C-1 - Motion to Approve on First Reading by Radina,An Ordinance to Amend Section 2:63 of Chapter 29 (Water Rates) of Title II of the Code of the City of Ann Arbor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975822&GUID=529166BA-CBED-489A-9F2D-AF738DA95239&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,C-2 - Motion to Approve on First Reading by Eyer,An Ordinance to Amend Section 2:69 of Chapter 29 (Stormwater Rates) of Title II of the Code of the City of Ann Arbor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7975821&GUID=62CD0678-45A2-475D-B037-D9B052AF72A9&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,ordinance pass,C-3 - Motion to Approve on First Reading by Disch,An Ordinance to Amend Section 2:64 of Chapter 29 (Sewer Rates) of Title II of the Code of the City of Ann Arbor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7982042&GUID=2A2D77DB-FCE2-432D-8A85-92EAF0969F60&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-1,Resolution to Recommend Approval of Issuance of a Downtown Development District Liquor License to SUGO ANN ARBOR LLC,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7982061&GUID=6D8AD172-E9BB-41CB-89C9-540706544E44&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-2,Resolution to Revise and Amend List of Approved Participating Establishments in the Downtown Ann Arbor Social District,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
https://a2gov.legistar.com/LegislationDetail.aspx?ID=7985735&GUID=BF857C34-41FD-4581-AFD3-493E6E9FACF1&G=505481FE-B2ED-4B34-9A92-FDB26536D1E1&Options=&Search=,resolution pass,DC-3,Resolution Directing the City to Conduct a Comprehensive Review of Temporary and Seasonal Position Classifications and Contracted Work,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
